Time (Milliseconds)	Number of Transitions/Interpolations	Number of State Transitions	Number of Registered Objects	Command Queue Size (Bytes)	Command Queue Used (%)	Number of Prepared Events	Number of Active Events	Loaded Banks (Memory) (Bytes)	Prepared Events (Memory) (Bytes)	Total Media (Memory) (Bytes)	Profiler Bandwidth (Bytes/Sec)	CPU - Total (%)	CPU - Plug-in Total (%)	Total Reserved Memory (Bytes)	Total Used Memory (Bytes)	Total Streaming Bandwidth (Low-Level) (Bytes/Sec)	Total Streaming Bandwidth (Bytes/Sec)	Number of Streams	Number of Streams (Active)	Number of Voices (Total)	Number of Voices (Virtual)	Number of Voices (Physical)	Number of Active Listeners	Output Peak	Number of Active Sends	Loudness Momentary/Sync Group 1	Loudness Short-term/Sync Group 1	Loudness Momentary/Sync Group 2	Loudness Short-term/Sync Group 2	Loudness Momentary/Sync Group 3	Loudness Short-term/Sync Group 3	Loudness Momentary/Sync Group 4	Loudness Short-term/Sync Group 4	API calls	
7643754	0	0	7	4828	1.84	0	0	351296	0	351296	6	0.19	0.00	12623872	3413968	0	0	0	0	0	0	0	5	-96	0										
7643954	0	0	7	0	0.00	0	0	351296	0	351296	16732	0.22	0.00	12623872	3414368	0	0	0	0	0	0	0	5	-96	0										
7644154	0	0	7	0	0.00	0	0	351296	0	351296	16580	0.21	0.00	12623872	3414368	0	0	0	0	0	0	0	5	-96	0										
7644354	0	0	7	0	0.00	0	0	351296	0	351296	15608	0.10	0.00	12623872	3414368	0	0	0	0	0	0	0	5	-96	0										
7644554	0	0	7	0	0.00	0	0	351296	0	351296	17291	0.09	0.00	12623872	3414368	0	0	0	0	0	0	0	5	-96	0										
7644754	0	0	7	0	0.00	0	0	351296	0	351296	16419	0.11	0.00	12623872	3414368	0	0	0	0	0	0	0	5	-96	0										
7644954	0	0	7	0	0.00	0	0	351296	0	351296	16209	0.07	0.00	12623872	3414368	0	0	0	0	0	0	0	5	-96	0										
7645154	0	0	7	0	0.00	0	0	351296	0	351296	15261	0.10	0.00	12623872	3414368	0	0	0	0	0	0	0	5	-96	0										
7645354	0	0	7	84	0.03	0	1	351296	0	351296	17570	0.29	0.01	12623872	3461824	0	0	0	0	1	0	1	5	-6	0										
7645554	0	0	7	0	0.00	0	1	351296	0	351296	30337	0.27	0.01	12623872	3461696	0	0	0	0	1	0	1	5	-16	0										
7645754	0	0	7	0	0.00	0	1	351296	0	351296	26779	0.32	0.01	12623872	3461696	0	0	0	0	1	0	1	5	-25	0										
7645954	0	0	7	0	0.00	0	1	351296	0	351296	25756	0.29	0.01	12623872	3461696	0	0	0	0	1	0	1	5	-32	0										
7646154	0	0	7	0	0.00	0	1	351296	0	351296	27105	0.39	0.03	12623872	3461696	0	0	0	0	1	0	1	5	-40	0										
7646354	0	0	7	0	0.00	0	1	351296	0	351296	25447	0.25	0.01	12623872	3461696	0	0	0	0	1	0	1	5	-53	0										
7646554	0	0	7	0	0.00	0	1	351296	0	351296	28442	0.56	0.16	12623872	3461696	0	0	0	0	1	0	1	5	-61	0										
7646754	0	0	7	52	0.02	0	1	351296	0	351296	32086	0.40	0.05	12623872	3461824	0	0	0	0	1	0	1	5	-76	0										
7646954	0	0	7	52	0.02	0	1	351296	0	351296	30780	0.50	0.03	12623872	3461824	0	0	0	0	1	0	1	5	-96	0										
7647154	0	0	7	0	0.00	0	1	351296	0	351296	26198	0.09	0.00	12623872	3461696	0	0	0	0	0	0	0	5	-96	0										
7647354	0	0	7	52	0.02	0	0	351296	0	351296	23247	0.29	0.01	12623872	3415056	0	0	0	0	1	0	1	5	-7	0										
7647554	0	0	7	84	0.03	0	1	351296	0	351296	27662	0.37	0.01	12623872	3461824	0	0	0	0	1	0	1	5	-16	0										
7647754	0	0	7	0	0.00	0	1	351296	0	351296	27576	0.39	0.03	12623872	3461696	0	0	0	0	1	0	1	5	-27	0										
7647954	0	0	7	0	0.00	0	1	351296	0	351296	26446	0.24	0.01	12623872	3461696	0	0	0	0	1	0	1	5	-34	0										
7648154	0	0	7	0	0.00	0	1	351296	0	351296	25117	0.32	0.01	12623872	3461696	0	0	0	0	1	0	1	5	-46	0										
7648354	0	0	7	0	0.00	0	1	351296	0	351296	26443	0.35	0.01	12623872	3461696	0	0	0	0	1	0	1	5	-53	0										
7648554	0	0	7	0	0.00	0	1	351296	0	351296	26439	0.38	0.12	12623872	3461696	0	0	0	0	1	0	1	5	-64	0										
